ZipCode,City,State,County,CityAliasAbbreviation,CityAliasName,CityMixedCase,CityAliasMixedCase
00501,HOLTSVILLE,NY,SUFFOLK,,INTERNAL REVENUE SERVICE,Holtsville,Internal Revenue Service
00501,HOLTSVILLE,NY,SUFFOLK,,HOLTSVILLE,Holtsville,Holtsville
00544,HOLTSVILLE,NY,SUFFOLK,,INTERNAL REVENUE SERVICE,Holtsville,Internal Revenue Service
00544,HOLTSVILLE,NY,SUFFOLK,,HOLTSVILLE,Holtsville,Holtsville
00601,ADJUNTAS,PR,ADJUNTAS,,URB SAN JOAQUIN,Adjuntas,URB San Joaquin
00601,ADJUNTAS,PR,ADJUNTAS,,JARD DE ADJUNTAS,Adjuntas,Jard De Adjuntas
00601,ADJUNTAS,PR,ADJUNTAS,,COLINAS DEL GIGANTE,Adjuntas,Colinas Del Gigante
00601,ADJUNTAS,PR,ADJUNTAS,,ADJUNTAS,Adjuntas,Adjuntas
00602,AGUADA,PR,AGUADA,,COMUNIDAD LAS FLORES,Aguada,Comunidad Las Flores
00602,AGUADA,PR,AGUADA,,URB ISABEL LA CATOLICA,Aguada,URB Isabel La Catolica
00602,AGUADA,PR,AGUADA,,ALTS DE AGUADA,Aguada,Alts De Aguada
00602,AGUADA,PR,AGUADA,,BO GUANIQUILLA,Aguada,Bo Guaniquilla
00602,AGUADA,PR,AGUADA,,AGUADA,Aguada,Aguada
00602,AGUADA,PR,AGUADA,,EXT LOS ROBLES,Aguada,Ext Los Robles
00603,AGUADILLA,PR,AGUADILLA,,RAMEY,Aguadilla,Ramey
00603,AGUADILLA,PR,AGUADILLA,,AGUADILLA,Aguadilla,Aguadilla
00603,AGUADILLA,PR,AGUADILLA,,REPTO LOPEZ,Aguadilla,Repto Lopez
00603,AGUADILLA,PR,AGUADILLA,,URB MALEZA GDNS,Aguadilla,URB Maleza Gdns
00603,AGUADILLA,PR,AGUADILLA,,URB VICTORIA,Aguadilla,URB Victoria
00603,AGUADILLA,PR,AGUADILLA,,REPTO TRES PALMAS,Aguadilla,Repto Tres Palmas
00603,AGUADILLA,PR,AGUADILLA,,SECT LAS VILLAS,Aguadilla,Sect Las Villas
00603,AGUADILLA,PR,AGUADILLA,,URB GARCIA,Aguadilla,URB Garcia
00603,AGUADILLA,PR,AGUADILLA,,VILLA LINDA,Aguadilla,Villa Linda
00603,AGUADILLA,PR,AGUADILLA,,VILLA UNIVERSITARIA,Aguadilla,Villa Universitaria
00603,AGUADILLA,PR,AGUADILLA,,BO CEIBA BAJA,Aguadilla,Bo Ceiba Baja
00603,AGUADILLA,PR,AGUADILLA,,URB BORINQUEN,Aguadilla,URB Borinquen
00603,AGUADILLA,PR,AGUADILLA,,VILLA ALEGRIA,Aguadilla,Villa Alegria
00603,AGUADILLA,PR,AGUADILLA,,VISTA ALEGRE,Aguadilla,Vista Alegre
00603,AGUADILLA,PR,AGUADILLA,,URB SAN CARLOS,Aguadilla,URB San Carlos
00603,AGUADILLA,PR,AGUADILLA,,BDA CABAN,Aguadilla,Bda Caban
00603,AGUADILLA,PR,AGUADILLA,,EXT EL PRADO,Aguadilla,Ext El Prado
00603,AGUADILLA,PR,AGUADILLA,,URB ESTEVES,Aguadilla,URB Esteves
00603,AGUADILLA,PR,AGUADILLA,,URB RAMEY,Aguadilla,URB Ramey
00603,AGUADILLA,PR,AGUADILLA,,VILLAS DE ALMERIA,Aguadilla,Villas De Almeria
00603,AGUADILLA,PR,AGUADILLA,,BDA ESTEVES,Aguadilla,Bda Esteves
00603,AGUADILLA,PR,AGUADILLA,,URB LAS AMERICAS,Aguadilla,URB Las Americas
00603,AGUADILLA,PR,AGUADILLA,,URB LAS CASITAS COUNTRY CLUB,Aguadilla,URB Las Casitas Country Club
00603,AGUADILLA,PR,AGUADILLA,,URB SANTA MARTA,Aguadilla,URB Santa Marta
00603,AGUADILLA,PR,AGUADILLA,,EXT MARBELLA,Aguadilla,Ext Marbella
00603,AGUADILLA,PR,AGUADILLA,,REPTO JUAN AGUIAR,Aguadilla,Repto Juan Aguiar
00603,AGUADILLA,PR,AGUADILLA,,VILLA LYDIA,Aguadilla,Villa Lydia
00603,AGUADILLA,PR,AGUADILLA,,BO BORINQUEN,Aguadilla,Bo Borinquen
00603,AGUADILLA,PR,AGUADILLA,,REPTO JIMENEZ,Aguadilla,Repto Jimenez
00603,AGUADILLA,PR,AGUADILLA,,URB EL PRADO,Aguadilla,URB El Prado
00603,AGUADILLA,PR,AGUADILLA,,URB MARBELLA,Aguadilla,URB Marbella
00603,AGUADILLA,PR,AGUADILLA,,URB RUBIANES,Aguadilla,URB Rubianes
00603,AGUADILLA,PR,AGUADILLA,,VISTA VERDE,Aguadilla,Vista Verde
00604,AGUADILLA,PR,AGUADILLA,,RAMEY,Aguadilla,Ramey
00604,AGUADILLA,PR,AGUADILLA,,AGUADILLA,Aguadilla,Aguadilla
00605,AGUADILLA,PR,AGUADILLA,,AGUADILLA,Aguadilla,Aguadilla
00606,MARICAO,PR,MARICAO,,MARICAO,Maricao,Maricao
00606,MARICAO,PR,MARICAO,,URB SAN JUAN BAUTISTA,Maricao,URB San Juan Bautista
00610,ANASCO,PR,ANASCO,,ANASCO,Anasco,Anasco
00610,ANASCO,PR,ANASCO,,JARD DE ANASCO,Anasco,Jard De Anasco
00610,ANASCO,PR,ANASCO,,REPTO DAGUEY,Anasco,Repto Daguey
00610,ANASCO,PR,ANASCO,,URB SAN ANTONIO,Anasco,URB San Antonio
00610,ANASCO,PR,ANASCO,,BRISAS DE ANASCO,Anasco,Brisas De Anasco
00610,ANASCO,PR,ANASCO,,PASEO DEL VALLE,Anasco,Paseo Del Valle
00610,ANASCO,PR,ANASCO,,EST DE VALLE VERDE,Anasco,Est De Valle Verde
00611,ANGELES,PR,UTUADO,,ANGELES,Angeles,Angeles
00612,ARECIBO,PR,ARECIBO,,COMUNIDAD BUENOS AIRES,Arecibo,Comunidad Buenos Aires
00612,ARECIBO,PR,ARECIBO,,EXT TANAMA,Arecibo,Ext Tanama
00612,ARECIBO,PR,ARECIBO,,JARD DE SAN RAFAEL,Arecibo,Jard De San Rafael
00612,ARECIBO,PR,ARECIBO,,URB COLLEGE PARK IV,Arecibo,URB College Park Iv
00612,ARECIBO,PR,ARECIBO,,URB LOS PINOS,Arecibo,URB Los Pinos
00612,ARECIBO,PR,ARECIBO,,VILLA LUCIA,Arecibo,Villa Lucia
00612,ARECIBO,PR,ARECIBO,,VISTA DEL ATLANTICO,Arecibo,Vista Del Atlantico
00612,ARECIBO,PR,ARECIBO,,BO EL PASAJE,Arecibo,Bo El Pasaje
00612,ARECIBO,PR,ARECIBO,,HACIENDA TOLEDO,Arecibo,Hacienda Toledo
00612,ARECIBO,PR,ARECIBO,,JARD DE ARECIBO,Arecibo,Jard De Arecibo
00612,ARECIBO,PR,ARECIBO,,PARC MATTEY,Arecibo,Parc Mattey
00612,ARECIBO,PR,ARECIBO,,PARQ DE JARDINES,Arecibo,Parq De Jardines
00612,ARECIBO,PR,ARECIBO,,URB ARECIBO GDNS,Arecibo,URB Arecibo Gdns
00612,ARECIBO,PR,ARECIBO,,URB COSTAS DEL ATLANTICO,Arecibo,URB Costas Del Atlantico
00612,ARECIBO,PR,ARECIBO,,URB LOS LLANOS,Arecibo,URB Los Llanos
00612,ARECIBO,PR,ARECIBO,,URB MARTELL,Arecibo,URB Martell
00612,ARECIBO,PR,ARECIBO,,URB REGIONAL,Arecibo,URB Regional
00612,ARECIBO,PR,ARECIBO,,VILLA SERENA,Arecibo,Villa Serena
00612,ARECIBO,PR,ARECIBO,,VISTA AZUL,Arecibo,Vista Azul
00612,ARECIBO,PR,ARECIBO,,BDA DUHAMEL,Arecibo,Bda Duhamel
00612,ARECIBO,PR,ARECIBO,,EXT VILLA LOS SANTOS I,Arecibo,Ext Villa Los Santos I
00612,ARECIBO,PR,ARECIBO,,PARC NAVAS,Arecibo,Parc Navas
00612,ARECIBO,PR,ARECIBO,,PASEOS REALES,Arecibo,Paseos Reales
00612,ARECIBO,PR,ARECIBO,,URB SAN DANIEL,Arecibo,URB San Daniel
00612,ARECIBO,PR,ARECIBO,,VILLA LOS SANTOS,Arecibo,Villa Los Santos
00612,ARECIBO,PR,ARECIBO,,VILLAS DEL CAPITAN,Arecibo,Villas Del Capitan
00612,ARECIBO,PR,ARECIBO,,VILLAS DEL SOL,Arecibo,Villas Del Sol
00612,ARECIBO,PR,ARECIBO,,URB FACTOR,Arecibo,URB Factor
00612,ARECIBO,PR,ARECIBO,,URB GARCIA,Arecibo,URB Garcia
00612,ARECIBO,PR,ARECIBO,,URB LA MUCURA,Arecibo,URB La Mucura
00612,ARECIBO,PR,ARECIBO,,URB MARISOL,Arecibo,URB Marisol
00612,ARECIBO,PR,ARECIBO,,URB OCEAN VW,Arecibo,URB Ocean Vw
00612,ARECIBO,PR,ARECIBO,,PARC PEREZ,Arecibo,Parc Perez
00612,ARECIBO,PR,ARECIBO,,REPTO MARQUEZ,Arecibo,Repto Marquez
00612,ARECIBO,PR,ARECIBO,,SECT LAS ANIMAS,Arecibo,Sect Las Animas
00612,ARECIBO,PR,ARECIBO,,URB EL PARAISO,Arecibo,URB El Paraiso
00612,ARECIBO,PR,ARECIBO,,URB GARDEN VIEW,Arecibo,URB Garden View
00612,ARECIBO,PR,ARECIBO,,URB LOS PINOS II,Arecibo,URB Los Pinos Ii
